20000001|普通|10000001|12|5
20000002|重症|10000002|12|6
20000003|专科|10000003|12|6
20000004|康复|10000004|12|6
20000005|观察|10000005|12|6
20000006|日间|10000006|12|12
20000007|隔离|10000007|12|12
20000008|母婴|10000008|12|12
20000009|急诊|10000009|12|12
20000010|综合|10000010|12|12
20000011|普通|10000011|12|12
20000012|重症|10000012|12|12
20000013|专科|10000013|12|12
20000014|康复|10000014|12|12
20000015|观察|10000015|12|12
20000016|日间|10000016|12|12
20000017|隔离|10000017|12|12
20000018|母婴|10000018|12|12
20000019|急诊|10000019|12|12
20000020|综合|10000020|12|12
20000021|普通|10000021|12|12
20000022|重症|10000022|12|12
20000023|专科|10000023|12|12
20000024|康复|10000024|12|12
20000025|观察|10000025|12|12
20000026|日间|10000026|12|12
20000027|隔离|10000027|12|12
20000028|母婴|10000028|12|12
20000029|急诊|10000029|12|12
20000030|综合|10000030|12|12
